Timestamp,Voltage,Current,Resistance
96.020,0.100,0.000,1503.001
96.242,0.421,0.000,1497.296
96.314,0.744,0.000,1496.422
96.386,1.065,0.001,1496.058
96.458,1.387,0.001,1495.852
96.681,1.710,0.001,1495.670
96.752,2.033,0.001,1495.603
96.823,2.355,0.002,1495.550
96.896,2.678,0.002,1495.510
96.967,3.000,0.002,1495.476
1.460,0.100,0.000,1502.984
1.683,0.421,0.000,1497.330
1.754,0.744,0.000,1496.423
1.825,1.065,0.001,1496.062
1.897,1.387,0.001,1495.853
2.120,1.710,0.001,1495.675
2.191,2.033,0.001,1495.605
2.264,2.355,0.002,1495.547
2.335,2.678,0.002,1495.509
2.407,3.000,0.002,1495.470
3.947,0.100,0.000,1502.994
4.170,0.421,0.000,1497.297
4.241,0.744,0.000,1496.406
4.313,1.065,0.001,1496.055
4.385,1.387,0.001,1495.855
4.607,1.710,0.001,1495.678
4.679,2.033,0.001,1495.612
4.751,2.355,0.002,1495.544
4.822,2.678,0.002,1495.510
4.895,3.000,0.002,1495.471
6.435,0.100,0.000,1502.905
6.657,0.421,0.000,1497.330
6.729,0.744,0.000,1496.433
6.801,1.065,0.001,1496.071
6.872,1.387,0.001,1495.860
7.095,1.710,0.001,1495.684
7.166,2.033,0.001,1495.615
7.238,2.355,0.002,1495.551
7.310,2.678,0.002,1495.512
7.382,3.000,0.002,1495.474
8.919,0.100,0.000,1502.808
9.142,0.421,0.000,1497.329
9.213,0.744,0.000,1496.429
9.284,1.065,0.001,1496.071
9.356,1.387,0.001,1495.855
9.579,1.710,0.001,1495.689
9.650,2.033,0.001,1495.610
9.723,2.355,0.002,1495.552
9.794,2.678,0.002,1495.514
9.865,3.000,0.002,1495.477
11.401,0.100,0.000,1502.989
11.624,0.421,0.000,1497.290
11.695,0.744,0.000,1496.425
11.768,1.065,0.001,1496.053
11.839,1.387,0.001,1495.859
12.062,1.710,0.001,1495.677
12.133,2.033,0.001,1495.612
12.205,2.355,0.002,1495.548
12.276,2.678,0.002,1495.511
12.349,3.000,0.002,1495.472
