Timestamp,Voltage,Current,Resistance,Timestamp,Voltage,Current,Resistance,Timestamp,Voltage,Current,Resistance,Timestamp,Voltage,Current,Resistance,Timestamp,Voltage,Current,Resistance
0.130876198,0.100060001,0.002105851,47.515232086,0.391002893,0.099368207,0.000981799,101.210388184,0.876654506,0.100057997,0.000000467,214036.046875000,1.553255677,0.099494472,0.000000214,465275.750000000,2.014078379,0.099505201,0.000045535,2185.255615234
0.130876198,0.421787113,0.008899349,47.395275116,0.391002893,0.421787113,0.004169916,101.150024414,0.876654506,0.422075391,0.000001927,218993.750000000,1.553255677,0.421373188,0.000000876,481067.125000000,2.014078379,0.422062993,0.000192672,2190.576660156
0.130876198,0.744764984,0.015717130,47.385559082,0.391002893,0.744343877,0.007356553,101.181068420,0.876654506,0.744634271,0.000003408,218466.750000000,1.553255677,0.744764984,0.000001576,472461.687500000,2.014078379,0.744627118,0.000339861,2190.978759766
0.130876198,1.066773057,0.022505220,47.401134491,0.391002893,1.066635013,0.010541590,101.183502197,0.876654506,1.067059994,0.000004858,219653.000000000,1.553255677,1.066910982,0.000002242,475916.281250000,2.014078379,1.066624999,0.000486806,2191.069580078
0.130876198,1.389471054,0.029312771,47.401557922,0.391002893,1.389168024,0.013732320,101.160476685,0.876654506,1.389471054,0.000006308,220269.921875000,1.553255677,1.390161037,0.000002920,476125.250000000,2.014078379,1.389305949,0.000634103,2190.978759766
0.130876198,1.711169958,0.036104329,47.395145416,0.391002893,1.711308002,0.016914209,101.175758362,0.876654506,1.710927010,0.000007758,220533.937500000,1.553255677,1.711599946,0.000003611,474012.281250000,2.014078379,1.711032033,0.000780959,2190.936035156
0.130876198,2.033605099,0.042917039,47.384559631,0.391002893,2.033742905,0.020100480,101.178825378,0.876654506,2.033034086,0.000009220,220491.000000000,1.553255677,2.033921003,0.000004302,472837.750000000,2.014078379,2.033289909,0.000928155,2190.679687500
0.130876198,2.355931997,0.049714372,47.389354706,0.391002893,2.356184959,0.023284720,101.190177917,0.876654506,2.356575966,0.000010695,220334.234375000,1.553255677,2.356345892,0.000004995,471749.531250000,2.014078379,2.356276989,0.001075554,2190.756591797
0.130876198,2.678468943,0.056519348,47.390300751,0.391002893,2.678304911,0.026469890,101.183082581,0.876654506,2.678003073,0.000012139,220615.140625000,1.553255677,2.678442955,0.000005676,471882.031250000,2.014078379,2.678580999,0.001222862,2190.419677734
0.130876198,3.000643969,0.063311517,47.394912720,0.391002893,3.000418901,0.029652219,101.186996460,0.876654506,3.000999928,0.000013635,220091.140625000,1.553255677,3.000447989,0.000006348,472665.875000000,2.014078379,3.000447989,0.001369811,2190.410156250
2.744190454,0.099645123,0.002105830,47.318691254,3.006140709,0.099366270,0.000982183,101.168785095,3.490400076,0.098677427,0.000000453,217991.890625000,4.167728901,0.099231221,0.000000206,481093.312500000,4.629203796,0.099781118,0.000045469,2194.468505859
2.744190454,0.421649098,0.008898792,47.382736206,3.006140709,0.421933293,0.004170206,101.178047180,3.490400076,0.421231091,0.000001932,218064.859375000,4.167728901,0.421783000,0.000000877,481106.906250000,4.629203796,0.422062993,0.000192672,2190.576660156
2.744190454,0.744627118,0.015715050,47.383056641,3.006140709,0.744474590,0.007356412,101.200775146,3.490400076,0.744903028,0.000003387,219957.109375000,4.167728901,0.743937314,0.000001563,475818.406250000,4.629203796,0.744198680,0.000339861,2189.715576172
2.744190454,1.066751957,0.022502691,47.405532837,3.006140709,1.066624999,0.010542180,101.176887512,3.490400076,1.066496968,0.000004836,220554.953125000,4.167728901,1.066496968,0.000002233,477660.937500000,4.629203796,1.065659046,0.000487084,2187.834228516
2.744190454,1.389485002,0.029313060,47.401569366,3.006140709,1.389181972,0.013733840,101.150299072,3.490400076,1.389320016,0.000006292,220791.484375000,4.167728901,1.388353944,0.000002927,474299.562500000,4.629203796,1.389719963,0.000633831,2192.570556641
2.744190454,1.710927010,0.036105029,47.387496948,3.006140709,1.711341023,0.016913150,101.184051514,3.490400076,1.711462021,0.000007756,220661.343750000,4.167728901,1.711462021,0.000003617,473146.437500000,4.629203796,1.710634947,0.000780591,2191.460693359
2.744190454,2.033704042,0.042915501,47.388565063,3.006140709,2.034039021,0.020102760,101.182075500,3.490400076,2.033427954,0.000009231,220279.562500000,4.167728901,2.033742905,0.000004310,471820.593750000,4.629203796,2.033407927,0.000928118,2190.893798828
2.744190454,2.355909109,0.049711801,47.391342163,3.006140709,2.356323004,0.023284020,101.199150085,3.490400076,2.356024027,0.000010691,220368.546875000,4.167728901,2.355863094,0.000004999,471228.781250000,4.629203796,2.356323004,0.001075645,2190.614013672
2.744190454,2.678580999,0.056518801,47.392742157,3.006140709,2.678252935,0.026470071,101.180427551,3.490400076,2.678632975,0.000012166,220180.921875000,4.167728901,2.678442955,0.000005665,472794.718750000,4.629203796,2.678442955,0.001222862,2190.306884766
2.744190454,3.000586033,0.063308902,47.395957947,3.006140709,3.000418901,0.029651530,101.189346313,3.490400076,3.000586033,0.000013648,219847.625000000,4.167728901,3.000309944,0.000006342,473092.187500000,4.629203796,3.000614882,0.001369825,2190.509765625
5.360817909,0.099646091,0.002105642,47.323375702,5.621290207,0.099368207,0.000981875,101.202491760,6.105814457,0.099506177,0.000000449,221607.203125000,6.783535004,0.099369183,0.000000199,498190.281250000,7.244451046,0.099506177,0.000045500,2186.927490234
