Timestamp,Resistance,Timestamp,Resistance,Timestamp,Resistance,Timestamp,Resistance,Timestamp,Resistance
0.070083298,3.000477076,0.866524518,3.000309944,1.352152348,3.000586033,2.030142784,3.000281096,2.490438700,2.999372959
3.218097210,3.000447989,3.479879141,3.000418901,3.967741013,3.001029015,4.645666599,2.999924898,5.105512142,3.000752926
5.817753792,3.000447989,6.078561306,3.000861883,6.564392090,3.000418901,7.242419720,3.000143051,7.702692509,3.000555992
8.440373421,3.000505924,8.701905251,3.000586033,9.185914993,3.000555992,9.863888741,3.000034094,10.324686050,3.000418901
11.046493530,3.000281096,11.308145523,3.000339031,11.792885780,3.000447989,12.470277786,3.000643969,12.929675102,3.000309944
13.666912079,3.000281096,13.927344322,3.000447989,14.412383080,3.000477076,15.090906143,3.000555992,15.550630569,3.000643969
16.278253555,3.000339031,16.538759232,3.000447989,17.023429871,3.000477076,17.700643539,2.999562025,18.161752701,3.000724077
18.874156952,2.999924898,19.134777069,3.001827955,19.619377136,3.000477076,20.296440125,3.000694990,20.756423950,3.000447989
21.482103348,3.000171900,21.743778229,3.000614882,22.281383514,3.000782013,22.972309113,2.999866962,23.432498932,3.000447989
24.156238556,3.000447989,24.416959763,3.000309944,24.901630402,3.000614882,25.579721451,3.000694990,26.039972305,3.000614882
26.758289337,3.000281096,27.020093918,3.000477076,27.505525589,3.000586033,28.185281754,3.000999928,28.645505905,3.000586033
29.370094299,2.999372959,29.633642197,2.999866962,30.118097305,3.000369072,30.796274185,3.000281096,31.257656097,3.000586033
31.983257294,3.000309944,32.245800018,3.000614882,32.729877472,3.000281096,33.406696320,3.000418901,33.867492676,3.000586033
