Timestamp,Voltage,Current,Linear Fit,Resistance
0.170898437,0.099990532,0.000017101,0.000016252,5847.061035156
0.185546875,0.420693636,0.000072430,0.000072030,5808.258300781
0.237304687,0.743656337,0.000128001,0.000128201,5809.754882812
0.251953125,1.065396309,0.000183660,0.000184159,5800.924316406
0.266601562,1.387322068,0.000239536,0.000240149,5791.698730469
0.281250000,1.709770441,0.000295657,0.000296230,5782.951171875
0.295898437,2.033027649,0.000352045,0.000352452,5774.915039062
0.310546875,2.355803728,0.000408446,0.000408590,5767.726562500
0.325195312,2.677870989,0.000465029,0.000464605,5758.498046875
0.339843750,3.001318932,0.000521623,0.000520860,5753.806152344
0.531250000,0.100093149,0.000017119,0.000016199,5846.923828125
0.545898437,0.422030479,0.000072455,0.000072198,5824.763671875
0.597656250,0.743476391,0.000128015,0.000128112,5807.728027344
0.612304687,1.065504313,0.000183676,0.000184127,5800.995605469
0.626953125,1.387925267,0.000239541,0.000240211,5794.095703125
0.641601562,1.709782600,0.000295634,0.000296197,5783.441406250
0.656250000,2.033113718,0.000352022,0.000352438,5775.530273437
0.670898437,2.355686426,0.000408398,0.000408548,5768.118164062
0.685546875,2.679455519,0.000465083,0.000464866,5761.243652344
0.700195312,3.000091076,0.000521594,0.000520639,5751.770019531
19.128906250,0.100491852,0.000011471,0.000010559,8760.265625000
19.143554687,0.824302197,0.000095392,0.000095881,8641.174804687
19.195312500,1.548601508,0.000180349,0.000181261,8586.712890625
19.209960937,2.274482727,0.000266395,0.000266828,8538.018554687
19.224609375,3.000170231,0.000353316,0.000352372,8491.455078125
19.257812500,0.100293539,0.000011489,0.000010536,8729.729492187
19.272460937,0.824733675,0.000095449,0.000095932,8640.611328125
19.324218750,1.548590422,0.000180352,0.000181260,8586.472656250
19.338867187,2.274748802,0.000266397,0.000266859,8538.933593750
19.353515625,3.000407696,0.000353279,0.000352400,8493.033203125
52.697265625,0.100595862,0.000014394,0.000013583,6988.583007812
52.749023437,0.824000597,0.000119459,0.000119895,6897.751464844
52.763671875,1.548813581,0.000225598,0.000226415,6865.379882812
52.778320312,2.274583340,0.000332652,0.000333074,6837.726074219
52.792968750,3.000227928,0.000440565,0.000439715,6809.950683594
52.826171875,0.099988461,0.000014398,0.000013494,6944.501464844
52.877929687,0.824402750,0.000119499,0.000119955,6898.800292969
52.892578125,1.548824668,0.000225579,0.000226416,6865.990234375
52.907226562,2.274849415,0.000332661,0.000333113,6838.331542969
52.921875000,2.999926329,0.000440525,0.000439671,6809.886230469
56.622070312,0.100594468,0.000014695,0.000013855,6845.698242187
56.673828125,0.824296296,0.000122007,0.000122448,6756.137695312
56.688476562,1.549517393,0.000230329,0.000231269,6727.419921875
56.703125000,2.274531364,0.000339648,0.000340058,6696.736816406
56.717773437,3.000048399,0.000449780,0.000448924,6670.041503906
56.750976562,0.100493237,0.000014694,0.000013840,6839.091308594
56.802734375,0.824089408,0.000122026,0.000122417,6753.378417969
56.817382812,1.548702002,0.000230332,0.000231146,6723.781738281
56.832031250,2.274281740,0.000339661,0.000340021,6695.750000000
56.846679687,3.000270844,0.000449763,0.000448957,6670.786621094
58.996093750,0.100391313,0.000014912,0.000014075,6732.124023437
59.047851562,0.824106991,0.000123529,0.000123957,6671.368652344
59.062500000,1.547697902,0.000233152,0.000233821,6638.162109375
59.077148437,2.274599552,0.000343822,0.000344187,6615.632812500
59.091796875,3.000392675,0.000455204,0.000454384,6591.309570312
59.125000000,0.100292847,0.000014887,0.000014060,6736.724609375
59.176757812,0.824408591,0.000123519,0.000124003,6674.352050781
59.191406250,1.548880935,0.000233128,0.000234000,6643.904785156
59.206054687,2.275050402,0.000343789,0.000344255,6617.574707031
59.220703125,3.000106096,0.000455141,0.000454341,6591.594238281
