Timestamp,Voltage,Current,Linear Fit,Resistance
0.171875000,0.101097181,0.000016868,0.000016044,5993.433105469
0.186523437,0.421829402,0.000071413,0.000071080,5906.940429687
0.238281250,0.743677437,0.000126169,0.000126307,5894.307128906
0.252929687,1.065798402,0.000181081,0.000181581,5885.752441406
0.267578125,1.386578798,0.000236138,0.000236625,5871.896484375
0.282226562,1.709895253,0.000291517,0.000292104,5865.501953125
0.296875000,2.032912493,0.000347110,0.000347532,5856.673339844
0.311523437,2.355367899,0.000402701,0.000402863,5848.930664062
0.326171875,2.678411961,0.000458569,0.000458296,5840.801757812
0.340820312,3.000227928,0.000514384,0.000513518,5832.661621094
0.556640625,0.100393392,0.000016876,0.000015951,5949.051757812
0.571289062,0.421725869,0.000071393,0.000071083,5907.069824219
0.623046875,0.743762136,0.000126166,0.000126335,5895.104980469
0.637695312,1.065411329,0.000181054,0.000181521,5884.509277344
0.652343750,1.387211680,0.000236143,0.000236733,5874.450683594
0.666992187,1.709959269,0.000291486,0.000292108,5866.352050781
0.681640625,2.033243418,0.000347090,0.000347574,5857.966796875
0.696289062,2.355300665,0.000402689,0.000402830,5848.931152344
0.710937500,2.677870989,0.000458533,0.000458174,5840.088867187
0.725585937,3.000148773,0.000514348,0.000513468,5832.920898437
0.926757812,0.100392692,0.000016873,0.000015954,5949.938964844
0.941406250,0.421619326,0.000071364,0.000071068,5907.990722656
0.993164062,0.743545234,0.000126158,0.000126302,5893.746093750
1.007812500,1.065094590,0.000181036,0.000181472,5883.333007812
1.022460937,1.387552857,0.000236140,0.000236798,5875.977050781
1.037109375,1.709870934,0.000291483,0.000292099,5866.107910156
1.051757812,2.033013105,0.000347070,0.000347542,5857.640625000
1.066406250,2.354915380,0.000402662,0.000402773,5848.369628906
1.082031250,2.677713156,0.000458538,0.000458156,5839.678222656
1.096679687,3.000371218,0.000514356,0.000513516,5833.255371094
1.277343750,0.100293539,0.000016874,0.000015957,5943.800292969
1.291992187,0.421731830,0.000071386,0.000071102,5907.775878906
1.343750000,0.743672192,0.000126193,0.000126333,5893.136230469
1.358398437,1.065504313,0.000181077,0.000181545,5884.250000000
1.373046875,1.387231469,0.000236127,0.000236740,5874.949707031
1.387695312,1.709569335,0.000291478,0.000292039,5865.174316406
1.402343750,2.033013105,0.000347050,0.000347528,5857.979003906
1.416992187,2.355267286,0.000402670,0.000402813,5849.118652344
1.431640625,2.678071976,0.000458502,0.000458192,5840.910644531
1.446289062,3.000148773,0.000514338,0.000513446,5833.035156250
1.625976562,0.100291468,0.000016884,0.000015957,5939.913574219
1.640625000,0.421823412,0.000071365,0.000071113,5910.766113281
1.692382812,0.743550479,0.000126159,0.000126304,5893.745605469
1.707031250,1.065087080,0.000181010,0.000181461,5884.148925781
1.721679687,1.387442350,0.000236148,0.000236759,5875.301757812
1.736328125,1.709883094,0.000291495,0.000292072,5865.905761719
1.750976562,2.032898188,0.000347038,0.000347483,5857.859375000
1.765625000,2.355250597,0.000402678,0.000402780,5848.972656250
1.780273437,2.678474188,0.000458497,0.000458227,5841.852050781
1.794921875,3.000249386,0.000514307,0.000513426,5833.572265625
1.982421875,0.100091763,0.000016885,0.000015950,5928.001464844
1.997070312,0.421935916,0.000071410,0.000071155,5908.637695312
2.048828125,0.743444622,0.000126133,0.000126303,5894.120605469
2.063476562,1.064315081,0.000180978,0.000181341,5880.914062500
2.078125000,1.387874246,0.000236158,0.000236840,5876.879394531
2.092773437,1.710093379,0.000291479,0.000292110,5866.957031250
2.107421875,2.033027649,0.000347053,0.000347502,5857.979003906
2.122070312,2.354797840,0.000402604,0.000402694,5848.921386719
2.136718750,2.677971363,0.000458507,0.000458127,5840.627441406
2.151367187,3.000773430,0.000514311,0.000513497,5834.549316406
2.330078125,0.100595161,0.000016883,0.000016002,5958.481933594
2.344726562,0.421415299,0.000071384,0.000071038,5903.511230469
2.396484375,0.743878543,0.000126199,0.000126356,5894.495605469
2.411132812,1.065403819,0.000181017,0.000181512,5885.651855469
2.425781250,1.387331963,0.000236106,0.000236738,5875.875000000
2.440429687,1.709870934,0.000291498,0.000292069,5865.805664062
2.455078125,2.032898188,0.000347073,0.000347484,5857.266601562
2.469726562,2.355501890,0.000402721,0.000402826,5848.961425781
2.484375000,2.678607941,0.000458525,0.000458254,5841.787597656
2.499023437,3.000270844,0.000514306,0.000513434,5833.628906250
2.686523437,0.100193687,0.000016859,0.000015947,5942.972167969
2.701171875,0.421722859,0.000071390,0.000071103,5907.277832031
2.752929687,0.743777990,0.000126169,0.000126349,5895.104492187
2.767578125,1.064863205,0.000180991,0.000181429,5883.527343750
2.782226562,1.387221575,0.000236110,0.000236727,5875.324707031
2.796875000,1.709456563,0.000291456,0.000292004,5865.233398437
2.811523437,2.032912493,0.000347045,0.000347491,5857.773925781
2.826171875,2.355133295,0.000402635,0.000402765,5849.306152344
2.840820312,2.678531647,0.000458512,0.000458242,5841.788085937
2.855468750,3.000106096,0.000514295,0.000513405,5833.434082031
3.036132812,0.100190923,0.000016847,0.000015939,5947.230957031
3.050781250,0.421731830,0.000071386,0.000071091,5907.775878906
3.102539062,0.743883848,0.000126160,0.000126349,5896.370605469
3.117187500,1.065519571,0.000181045,0.000181517,5885.391601562
3.131835937,1.387452364,0.000236140,0.000236737,5875.551269531
3.146484375,1.709794760,0.000291497,0.000292026,5865.560546875
3.161132812,2.033128262,0.000347073,0.000347486,5857.930664062
3.175781250,2.355468273,0.000402650,0.000402776,5849.909179687
3.190429687,2.679172993,0.000458534,0.000458299,5842.911621094
