Timestamp,Resistance
0.109066203,2428.962402344
0.627375305,2428.739746094
1.133825541,2429.038574219
1.646318793,2428.627685547
2.158760071,2428.466064453
2.672369242,2428.851074219
3.180687189,2428.354248047
3.681576729,2428.627685547
4.190862179,2428.218750000
4.701611996,2428.380371094
5.246387482,2428.081298828
5.758913517,2427.943603516
6.288498878,2427.919677734
6.797314644,2427.919189453
7.294243813,2427.758544922
7.803992748,2428.080566406
8.311598778,2427.955566406
8.822945595,2427.509033203
9.318121910,2427.646728516
9.830822945,2427.374267578
10.324934006,2427.397705078
10.836601257,2427.236328125
11.343477249,2427.100830078
11.854536057,2427.124511719
22.131616592,2424.644775391
23.230165482,2424.559570312
23.742120743,2425.078613281
24.241664886,2425.029296875
24.752862930,2424.806152344
25.267658234,2424.645263672
25.777250290,2424.619628906
26.313112259,2424.261474609
26.819675446,2424.619628906
27.318071365,2424.236083984
27.830430984,2424.100830078
28.334127426,2423.963623047
28.835041046,2423.691406250
29.341222763,2424.261718750
29.849437714,2423.940185547
30.347475052,2423.963867187
30.858865738,2423.691406250
31.355955124,2423.740966797
31.863479614,2423.271484375
32.360664368,2423.717285156
32.871223450,2423.159912109
33.383331299,2422.553222656
33.897880554,2423.544189453
34.403522491,2422.527832031
34.915431976,2424.855468750
35.429832458,2423.393798828
35.942825317,2423.173095703
36.443580627,2423.282470703
36.956634521,2422.738525391
37.461692810,2423.121826172
37.970432281,2422.603515625
38.480506897,2422.874755859
39.012722015,2422.603759766
39.521774292,2422.170166016
40.033275604,2422.220458984
40.541439056,2422.220458984
41.053356171,2421.972167969
41.564167023,2422.331787109
42.074131012,2421.923095703
42.582553864,2422.083496094
43.090431213,2422.009033203
43.603527069,2421.811767578
44.115528107,2421.837158203
44.628215790,2421.651367187
45.140075684,2421.625976562
45.649456024,2421.540039062
46.163482666,2421.540039062
46.676216125,2421.157226562
47.187816620,2421.354248047
47.698982239,2421.268554687
48.207431793,2421.219726562
48.726535797,2420.885498047
49.241321564,2420.675292969
49.753479004,2420.860107422
50.264453888,2420.971435547
50.774421692,2420.539794922
51.300323486,2420.836669922
51.813770294,2420.699951172
52.320697784,2420.565185547
52.831016541,2420.453857422
53.334541321,2420.699218750
