-63.000
6893.829
-63.000,-62.500
6893.829,6893.769
-63.000,-62.500,-62.000
6893.829,6893.769,6893.149
-63.000,-62.500,-62.000,-61.500
6893.829,6893.769,6893.149,6892.808
-63.000,-62.500,-62.000,-61.500,-61.000
6893.829,6893.769,6893.149,6892.808,6893.219
-63.000,-62.500,-62.000,-61.500,-61.000,-60.500
6893.829,6893.769,6893.149,6892.808,6893.219,6892.966
-63.000,-62.500,-62.000,-61.500,-61.000,-60.500,-60.000
6893.829,6893.769,6893.149,6892.808,6893.219,6892.966,6892.670
-63.000,-62.500,-62.000,-61.500,-61.000,-60.500,-60.000,-59.500
6893.829,6893.769,6893.149,6892.808,6893.219,6892.966,6892.670,6892.816
-63.000,-62.500,-62.000,-61.500,-61.000,-60.500,-60.000,-59.500,-59.000
6893.829,6893.769,6893.149,6892.808,6893.219,6892.966,6892.670,6892.816,6892.461
-63.000,-62.500,-62.000,-61.500,-61.000,-60.500,-60.000,-59.500,-59.000,-58.500
6893.829,6893.769,6893.149,6892.808,6893.219,6892.966,6892.670,6892.816,6892.461,6892.065
-63.000,-62.500,-62.000,-61.500,-61.000,-60.500,-60.000,-59.500,-59.000,-58.500,-58.000
6893.829,6893.769,6893.149,6892.808,6893.219,6892.966,6892.670,6892.816,6892.461,6892.065,6891.706
