Timestamp,Resistance,Timestamp,Resistance
0.107894003,47.646186829,0.320197612,103.966049194
18.108818054,32.787418365,18.815105438,103.956298828
19.258596420,47.624099731,19.470844269,103.956008911
19.914527893,47.623054504,20.127103806,103.938507080
20.560544968,47.615875244,20.773944855,103.936012268
21.191120148,47.623584747,21.404249191,103.923721313
21.839260101,47.617626190,22.051959991,103.913482666
22.488363266,47.620857239,22.700235367,103.908256531
23.121654510,47.617626190,23.333923340,103.891220093
23.773130417,47.619205475,23.986267090,103.898262024
24.443235397,47.620250702,24.655466080,103.888450623
25.081182480,47.608173370,25.293312073,103.886222839
25.773487091,47.614303589,25.985858917,103.890739441
26.422197342,47.616493225,26.634075165,103.883705139
27.069541931,47.649349213,27.282333374,103.883697510
27.721961975,47.617530823,27.935056686,103.901664734
28.373649597,47.622528076,28.586563110,103.868698120
