Timestamp,Resistance,Timestamp,Resistance,Timestamp,Resistance,Timestamp,Resistance
0.131096601,47.400535583,0.365326911,104.048782349,0.748851597,220409.625000000,1.326638341,473741.093750000
2.480582952,47.402202606,2.715000629,104.008872986,3.101054907,220125.937500000,3.679097414,473733.500000000
4.102848530,47.401069641,4.336944103,103.993614197,4.722824097,220105.687500000,5.300498486,473302.281250000
5.849747658,47.403240204,6.083659172,103.981536865,6.469653130,219643.468750000,7.046624184,474418.437500000
7.467985630,47.400554657,7.702475548,103.961502075,8.086875916,219990.015625000,8.664820671,474342.562500000
9.105385780,47.400634766,9.341105461,103.956260681,9.724758148,220308.156250000,10.301208496,472825.562500000
10.803853035,47.384704590,11.039402008,103.943763733,11.423857689,219987.796875000,12.001055717,473006.093750000
12.539443970,47.396286011,12.775067329,103.943542480,13.159174919,220579.796875000,13.737430573,471027.531250000
14.478323936,47.397842407,14.713586807,103.921447754,15.097455025,220197.859375000,15.674881935,473365.718750000
16.393411636,47.397941589,16.627891541,103.843658447,17.011762619,220254.093750000,17.589567184,473157.406250000
18.180196762,47.402202606,18.416736603,103.931236267,18.802017212,219994.484375000,19.380210876,474325.531250000
22.409152985,47.400646210,22.644653320,103.848838806,23.029071808,220500.906250000,23.607061386,473371.437500000
